nickname,count,every,age
Léňa,6,1656,v4
Jeník,6,1669,v5
Lenka,6,2113,v7
Luki,6,2113,v7
Houbička,6,5201,v2
Chrostík,6,4969,v4
Hrom,6,1669,v5
Láďa,6,2113,v7
Karamelka,6,6502,v2
Bobřík,6,2485,v4
Čochtan,6,835,v5
Fidla,6,1669,v5
Dráče,6,3591,v3
Forrest,6,3591,v3
Dejv,6,3591,v3
Doby,6,5201,v2
Anežka,6,4364,v1
Čapka,6,5818,v1
Bimbo,6,835,v5
Flíček,6,3591,v3
Aladin,6,556,v5
Buldok,6,2485,v4
Dandy,6,1669,v5
Agent,6,7182,v3
E.T.,6,3591,v3
Bahňák,6,5818,v1
Brzda,6,4969,v4
Bája,6,4969,v4
Efka,6,1669,v5
Barbie,6,6502,v2
Delfínek,6,5818,v1
Flash,6,5201,v2
Denča,6,5201,v2
Budulínek,6,4969,v4
Brambůrka,6,4969,v4
Donald,6,2113,v7
Brebta,6,5201,v2
Babča,6,528,v7
Elsa,6,7182,v3
Daník,6,5818,v1
Česílko,6,2113,v7
Čočka,6,2485,v4
Vočko,5,3591,v3
Tony,5,1669,v5
Žluťásek,5,7182,v3
Shrek,5,6502,v2
Vanilka,5,6502,v2
Síma,5,1669,v5
Xena,5,4969,v4
Simba,5,1128,v6
Termit,5,5201,v2
Skipy,5,835,v5
Turbánek,5,2113,v7
Smolda,5,1669,v5
Vlásek,5,2394,v3
Sněhulák,5,3591,v3
Willy,5,2394,v3
Soník,5,1656,v4
Zvonek,5,1669,v5
Sopťa,5,1656,v4
Terezka,5,6502,v2
Spacák,5,2485,v4
Tonča,5,4969,v4
Sršeň,5,4969,v4
Trnka,5,3591,v3
Strom,5,4364,v1
Užovka,5,1669,v5
Sunny,5,3591,v3
Věrka,5,1669,v5
Světluška,5,1128,v6
Vlče,5,2113,v7
Šedák,5,2113,v7
Vosa,5,1669,v5
Šerpa,5,2113,v7
Woody,5,4969,v4
Šroubek,5,2113,v7
Zubejda,5,3591,v3
Štěpán,5,5201,v2
Želvík,5,3591,v3
Tatranka,5,4969,v4
Teddy,5,1057,v7
Žrout,5,4969,v4
Magnet,5,2113,v7
Pyro,5,5201,v2
Pepin,5,4969,v4
Mánička,5,3591,v3
Rony,5,2113,v7
Manka,5,564,v6
Paštika,5,6502,v2
Mara,5,1669,v5
Pipin,5,3591,v3
Marky,5,4969,v4
Rikitan,5,704,v7
Máta,5,7182,v3
Oli,5,2113,v7
Lvice,5,2113,v7
Ostříž,5,1128,v6
Medúza,5,1128,v6
Pejsek,5,1669,v5
Mech,5,1669,v5
Makak,5,4969,v4
Mery,5,2113,v7
Pomeranč,5,6502,v2
Měsíček,5,1669,v5
Racochejl,5,7182,v3
Mike,5,2394,v3
Rolnička,5,1669,v5
Mac,5,1128,v6
